client_id,canal_principal,score_intensite,niveau_engagement,statut,produits_actuels,opportunites,produit_recommande,canal_recommande
CLI00867,web,0.6492,Engagé,client_actif,,,,
CLI00868,web,0.4928,Peu engagé,client_inactif,,,,
CLI00869,web,0.3369,Peu engagé,prospect,"['sante', 'auto']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00870,web,0.2049,Dormant,client_inactif,,,,
CLI00871,app_mobile,0.8136,Très engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00872,telephone,0.804,Très engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00873,telephone,0.9054,Très engagé,client_actif,"['habitation', 'epargne', 'prevoyance']","['auto', 'sante']",sante,telephone
CLI00874,app_mobile,0.8213,Très engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00875,app_mobile,0.6727,Engagé,client_actif,"['prevoyance', 'epargne', 'habitation', 'auto', 'sante']",[],Portefeuille complet,email
CLI00876,web,0.4028,Peu engagé,client_actif,"['epargne', 'sante', 'prevoyance', 'habitation']",['auto'],auto,web
CLI00877,web,0.592,Engagé,prospect,"['epargne', 'habitation']","['auto', 'sante', 'prevoyance']",sante,telephone
CLI00878,web,0.4681,Peu engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00879,agence,0.7699,Très engagé,client_actif,"['prevoyance', 'epargne', 'auto']","['habitation', 'sante']",sante,telephone
CLI00880,web,0.5841,Engagé,client_actif,"['epargne', 'prevoyance', 'habitation', 'auto']",['sante'],sante,telephone
CLI00881,telephone,0.65,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00882,agence,0.4984,Peu engagé,client_inactif,"['sante', 'prevoyance']","['auto', 'habitation', 'epargne']",epargne,agence
CLI00883,web,0.3415,Peu engagé,client_inactif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00884,web,0.4837,Peu engagé,client_inactif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00885,agence,0.7315,Engagé,client_actif,"['auto', 'epargne']","['habitation', 'sante', 'prevoyance']",sante,telephone
CLI00886,telephone,0.44,Peu engagé,client_inactif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00887,agence,0.9096,Très engagé,client_actif,"['prevoyance', 'epargne']","['auto', 'habitation', 'sante']",sante,telephone
CLI00888,web,0.2751,Peu engagé,prospect,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00889,app_mobile,0.6322,Engagé,client_actif,,,,
CLI00890,web,0.2361,Dormant,client_inactif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00891,email,0.5007,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00892,agence,0.3537,Peu engagé,prospect,"['epargne', 'prevoyance', 'sante', 'auto']",['habitation'],habitation,web
CLI00893,agence,0.4987,Peu engagé,prospect,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00894,app_mobile,0.3531,Peu engagé,client_inactif,,,,
CLI00895,agence,0.6665,Engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00896,web,0.5687,Engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00897,web,0.7581,Très engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00898,app_mobile,0.8364,Très engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00899,telephone,0.5972,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00900,agence,0.8077,Très engagé,client_actif,,,,
CLI00901,web,0.3098,Peu engagé,client_inactif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00902,telephone,0.7709,Très engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00903,web,0.8656,Très engagé,client_actif,"['habitation', 'sante', 'auto', 'epargne']",['prevoyance'],prevoyance,agence
CLI00904,web,0.4234,Peu engagé,prospect,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00905,web,0.453,Peu engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00906,app_mobile,0.8217,Très engagé,client_actif,"['sante', 'prevoyance']","['auto', 'habitation', 'epargne']",epargne,agence
CLI00907,app_mobile,0.5365,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00908,app_mobile,0.4668,Peu engagé,prospect,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00909,agence,0.5107,Engagé,client_inactif,,,,
CLI00910,web,0.718,Engagé,client_actif,"['auto', 'sante']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00911,agence,0.8953,Très engagé,client_actif,"['prevoyance', 'epargne', 'auto']","['habitation', 'sante']",sante,telephone
CLI00912,web,0.3616,Peu engagé,client_inactif,,,,
CLI00913,agence,0.5232,Engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00914,agence,0.4748,Peu engagé,client_inactif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00915,agence,0.4915,Peu engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00916,app_mobile,0.8255,Très engagé,client_actif,"['sante', 'auto']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00917,agence,0.5239,Engagé,client_inactif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00918,web,0.6238,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00919,telephone,0.5226,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00920,web,0.4509,Peu engagé,client_inactif,,,,
CLI00921,web,0.869,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00922,app_mobile,0.8403,Très engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00923,agence,0.564,Engagé,client_actif,,,,
CLI00924,web,0.3365,Peu engagé,client_inactif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00925,telephone,0.467,Peu engagé,résilié,,,,
CLI00926,email,0.8648,Très engagé,client_actif,"['habitation', 'auto', 'sante', 'epargne', 'prevoyance']",[],Portefeuille complet,email
CLI00927,agence,0.7162,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00928,app_mobile,0.4631,Peu engagé,résilié,,,,
CLI00929,agence,0.5141,Engagé,prospect,"['epargne', 'prevoyance', 'habitation', 'auto']",['sante'],sante,telephone
CLI00930,web,0.5991,Engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00931,app_mobile,0.4699,Peu engagé,client_inactif,"['prevoyance', 'auto']","['habitation', 'sante', 'epargne']",sante,telephone
CLI00932,telephone,0.3019,Peu engagé,client_inactif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00933,email,0.4505,Peu engagé,client_inactif,,,,
CLI00934,telephone,0.752,Très engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00935,web,0.5301,Engagé,prospect,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00936,web,0.5127,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00937,web,0.6589,Engagé,client_actif,,,,
CLI00938,app_mobile,0.4512,Peu engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00939,web,0.5489,Engagé,client_inactif,,,,
CLI00940,app_mobile,0.579,Engagé,prospect,"['prevoyance', 'habitation']","['auto', 'sante', 'epargne']",sante,telephone
CLI00941,agence,0.5825,Engagé,client_inactif,,,,
CLI00942,agence,0.6971,Engagé,client_actif,,,,
CLI00943,agence,0.7427,Engagé,client_actif,"['auto', 'sante']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00944,telephone,0.4784,Peu engagé,prospect,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00945,web,0.5025,Engagé,client_actif,,,,
CLI00946,web,0.433,Peu engagé,prospect,"['epargne', 'habitation']","['auto', 'sante', 'prevoyance']",sante,telephone
CLI00947,agence,0.4859,Peu engagé,résilié,,,,
CLI00948,app_mobile,0.4333,Peu engagé,client_inactif,,,,
CLI00949,app_mobile,0.758,Très engagé,client_actif,"['auto', 'prevoyance', 'sante']","['habitation', 'epargne']",epargne,agence
CLI00950,web,0.7642,Très engagé,client_actif,,,,
CLI00951,web,0.35,Peu engagé,résilié,,,,
CLI00952,agence,0.8045,Très engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00953,telephone,0.8396,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00954,telephone,0.6618,Engagé,client_actif,"['epargne', 'auto']","['habitation', 'sante', 'prevoyance']",sante,telephone
CLI00955,app_mobile,0.3703,Peu engagé,résilié,,,,
CLI00956,app_mobile,0.5138,Engagé,prospect,"['habitation', 'auto']","['sante', 'prevoyance', 'epargne']",sante,telephone
CLI00957,telephone,0.492,Peu engagé,client_actif,"['auto', 'sante']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00958,app_mobile,0.4733,Peu engagé,résilié,,,,
CLI00959,app_mobile,0.5698,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00960,telephone,0.2744,Peu engagé,prospect,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00961,agence,0.8216,Très engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00962,telephone,0.4114,Peu engagé,client_inactif,"['prevoyance', 'sante']","['auto', 'habitation', 'epargne']",epargne,agence
CLI00963,web,0.5619,Engagé,client_actif,"['habitation', 'prevoyance', 'sante']","['auto', 'epargne']",epargne,agence
CLI00964,app_mobile,0.354,Peu engagé,résilié,,,,
CLI00965,telephone,0.8738,Très engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00966,web,0.4356,Peu engagé,prospect,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00967,agence,0.381,Peu engagé,résilié,,,,
CLI00968,web,0.5483,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00969,telephone,0.7693,Très engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00970,agence,0.5491,Engagé,client_actif,"['epargne', 'auto', 'sante', 'habitation']",['prevoyance'],prevoyance,agence
CLI00971,web,0.5347,Engagé,client_actif,"['prevoyance', 'habitation']","['auto', 'sante', 'epargne']",sante,telephone
CLI00972,app_mobile,0.2934,Peu engagé,prospect,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00973,agence,0.4335,Peu engagé,prospect,"['habitation', 'epargne']","['auto', 'sante', 'prevoyance']",sante,telephone
CLI00974,agence,0.7616,Très engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00975,app_mobile,0.4662,Peu engagé,client_inactif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00976,telephone,0.6197,Engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00977,app_mobile,0.4603,Peu engagé,résilié,,,,
CLI00978,app_mobile,0.5315,Engagé,client_actif,"['auto', 'epargne']","['habitation', 'sante', 'prevoyance']",sante,telephone
CLI00979,web,0.5907,Engagé,client_actif,"['sante', 'prevoyance']","['auto', 'habitation', 'epargne']",epargne,agence
CLI00980,telephone,0.614,Engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00981,web,0.5826,Engagé,client_actif,"['habitation', 'auto']","['sante', 'prevoyance', 'epargne']",sante,telephone
CLI00982,app_mobile,0.828,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00983,telephone,0.3062,Peu engagé,client_inactif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00984,web,0.3196,Peu engagé,résilié,,,,
CLI00985,app_mobile,0.3835,Peu engagé,résilié,,,,
CLI00986,web,0.6105,Engagé,client_actif,,,,
CLI00987,agence,0.3988,Peu engagé,client_inactif,,,,
CLI00988,app_mobile,0.7625,Très engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00989,telephone,0.2653,Peu engagé,prospect,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00990,telephone,0.3493,Peu engagé,client_inactif,,,,
CLI00991,agence,0.8757,Très engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00992,agence,0.6607,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00993,app_mobile,0.6477,Engagé,client_actif,"['prevoyance', 'habitation', 'auto', 'sante', 'epargne']",[],Portefeuille complet,email
CLI00994,app_mobile,0.6792,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00995,agence,0.4404,Peu engagé,client_inactif,,,,
CLI00996,telephone,0.7835,Très engagé,client_actif,"['epargne', 'sante']","['auto', 'habitation', 'prevoyance']",prevoyance,agence
CLI00997,app_mobile,0.4746,Peu engagé,résilié,,,,
CLI00998,web,0.4729,Peu engagé,prospect,"['epargne', 'prevoyance']","['auto', 'habitation', 'sante']",sante,telephone
CLI00999,app_mobile,0.5144,Engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI01000,app_mobile,0.7581,Très engagé,client_actif,"['sante', 'habitation']","['auto', 'prevoyance', 'epargne']",prevoyance,agence
CLI01001,web,0.6233,Engagé,client_actif,"['prevoyance', 'sante', 'epargne']","['auto', 'habitation']",auto,web
CLI01002,app_mobile,0.6481,Engagé,client_actif,"['habitation', 'sante', 'auto']","['prevoyance', 'epargne']",prevoyance,agence
CLI01003,app_mobile,0.4668,Peu engagé,client_inactif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01004,app_mobile,0.3931,Peu engagé,client_inactif,,,,
CLI01005,app_mobile,0.3176,Peu engagé,résilié,,,,
CLI01006,agence,0.3769,Peu engagé,client_inactif,"['prevoyance', 'auto']","['habitation', 'sante', 'epargne']",sante,telephone
CLI01007,telephone,0.3984,Peu engagé,client_inactif,,,,
CLI01008,email,0.6975,Engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI01009,app_mobile,0.3264,Peu engagé,client_inactif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01010,web,0.6595,Engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI01011,email,0.4729,Peu engagé,client_actif,"['auto', 'sante', 'prevoyance', 'epargne', 'habitation']",[],Portefeuille complet,email
CLI01012,agence,0.8204,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI01013,web,0.6791,Engagé,client_actif,"['habitation', 'sante']","['auto', 'prevoyance', 'epargne']",prevoyance,agence
CLI01014,web,0.8252,Très engagé,client_actif,"['epargne', 'auto']","['habitation', 'sante', 'prevoyance']",sante,telephone
CLI01015,web,0.4003,Peu engagé,résilié,,,,
CLI01016,web,0.7687,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI01017,web,0.1919,Dormant,prospect,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI01018,telephone,0.6634,Engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01019,app_mobile,0.4976,Peu engagé,prospect,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI01020,agence,0.4709,Peu engagé,prospect,"['epargne', 'habitation']","['auto', 'sante', 'prevoyance']",sante,telephone
CLI01021,telephone,0.547,Engagé,client_actif,"['epargne', 'auto']","['habitation', 'sante', 'prevoyance']",sante,telephone
CLI01022,agence,0.6895,Engagé,client_actif,"['habitation', 'prevoyance', 'auto', 'epargne', 'sante']",[],Portefeuille complet,email
CLI01023,telephone,0.6861,Engagé,client_actif,"['habitation', 'epargne', 'sante', 'prevoyance', 'auto']",[],Portefeuille complet,email
CLI01024,email,0.4569,Peu engagé,client_inactif,,,,
CLI01025,app_mobile,0.4123,Peu engagé,client_inactif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01026,email,0.4565,Peu engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01027,agence,0.6716,Engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI01028,web,0.8373,Très engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01029,agence,0.3435,Peu engagé,client_inactif,"['auto', 'sante']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI01030,agence,0.5567,Engagé,prospect,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI01031,telephone,0.4551,Peu engagé,prospect,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01032,app_mobile,0.1788,Dormant,client_inactif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI01033,app_mobile,0.7192,Engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI01034,web,0.4719,Peu engagé,prospect,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01035,web,0.7086,Engagé,client_actif,"['epargne', 'prevoyance']","['auto', 'habitation', 'sante']",sante,telephone
CLI01036,web,0.2805,Peu engagé,résilié,,,,
CLI01037,app_mobile,0.2526,Peu engagé,client_inactif,"['epargne', 'auto']","['habitation', 'sante', 'prevoyance']",sante,telephone
CLI01038,telephone,0.3503,Peu engagé,client_inactif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI01039,web,0.8651,Très engagé,client_actif,"['epargne', 'habitation', 'prevoyance', 'auto']",['sante'],sante,telephone
CLI01040,app_mobile,0.7452,Engagé,client_actif,"['habitation', 'prevoyance']","['auto', 'sante', 'epargne']",sante,telephone
CLI01041,web,0.264,Peu engagé,résilié,,,,
CLI01042,web,0.3165,Peu engagé,résilié,,,,
CLI01043,app_mobile,0.698,Engagé,client_actif,"['auto', 'sante', 'prevoyance']","['habitation', 'epargne']",epargne,agence
CLI01044,web,0.3699,Peu engagé,client_inactif,,,,
CLI01045,app_mobile,0.6227,Engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI01046,web,0.6512,Engagé,client_actif,"['habitation', 'sante', 'auto', 'prevoyance']",['epargne'],epargne,agence
CLI01047,web,0.856,Très engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01048,app_mobile,0.7552,Très engagé,client_actif,,,,
CLI01049,app_mobile,0.4509,Peu engagé,résilié,,,,
CLI01050,web,0.4701,Peu engagé,prospect,"['prevoyance', 'epargne']","['auto', 'habitation', 'sante']",sante,telephone
CLI01051,app_mobile,0.5512,Engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI01052,telephone,0.3998,Peu engagé,résilié,,,,
CLI01053,agence,0.4676,Peu engagé,résilié,,,,
CLI01054,web,0.5342,Engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01055,app_mobile,0.809,Très engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI01056,agence,0.4747,Peu engagé,client_actif,"['prevoyance', 'habitation']","['auto', 'sante', 'epargne']",sante,telephone
CLI01057,web,0.8317,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI01058,telephone,0.4309,Peu engagé,résilié,,,,
CLI01059,telephone,0.4471,Peu engagé,résilié,,,,
CLI01060,telephone,0.6958,Engagé,client_actif,"['epargne', 'sante']","['auto', 'habitation', 'prevoyance']",prevoyance,agence
CLI01061,telephone,0.4075,Peu engagé,prospect,"['prevoyance', 'epargne', 'auto', 'sante']",['habitation'],habitation,web
CLI01062,agence,0.2932,Peu engagé,prospect,"['habitation', 'prevoyance']","['auto', 'sante', 'epargne']",sante,telephone
CLI01063,agence,0.3521,Peu engagé,résilié,,,,
CLI01064,agence,0.8746,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI01065,telephone,0.5368,Engagé,client_actif,"['habitation', 'auto', 'epargne']","['sante', 'prevoyance']",sante,telephone
CLI01066,agence,0.7271,Engagé,client_actif,"['auto', 'prevoyance', 'habitation']","['sante', 'epargne']",sante,telephone
CLI01067,web,0.8566,Très engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01068,app_mobile,0.4353,Peu engagé,prospect,"['sante', 'epargne', 'habitation']","['auto', 'prevoyance']",prevoyance,agence
CLI01069,telephone,0.4622,Peu engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI01070,web,0.5154,Engagé,résilié,,,,
CLI01071,agence,0.2003,Dormant,résilié,,,,
CLI01072,email,0.3847,Peu engagé,client_inactif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01073,agence,0.4694,Peu engagé,prospect,"['prevoyance', 'sante']","['auto', 'habitation', 'epargne']",epargne,agence
CLI01074,email,0.7609,Très engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01075,agence,0.6132,Engagé,client_actif,"['prevoyance', 'habitation']","['auto', 'sante', 'epargne']",sante,telephone
CLI01076,web,0.5879,Engagé,client_actif,"['prevoyance', 'habitation']","['auto', 'sante', 'epargne']",sante,telephone
CLI01077,telephone,0.3393,Peu engagé,résilié,,,,
CLI01078,web,0.8753,Très engagé,client_actif,"['habitation', 'sante', 'epargne']","['auto', 'prevoyance']",prevoyance,agence
CLI01079,app_mobile,0.5267,Engagé,prospect,"['prevoyance', 'auto', 'epargne']","['habitation', 'sante']",sante,telephone
CLI01080,web,0.4539,Peu engagé,résilié,,,,
CLI01081,web,0.3473,Peu engagé,résilié,,,,
CLI01082,app_mobile,0.5411,Engagé,prospect,"['auto', 'epargne']","['habitation', 'sante', 'prevoyance']",sante,telephone
CLI01083,app_mobile,0.5738,Engagé,client_actif,"['epargne', 'auto', 'sante']","['habitation', 'prevoyance']",prevoyance,agence
CLI01084,agence,0.7904,Très engagé,client_actif,,,,
CLI01085,telephone,0.5576,Engagé,client_actif,,,,
CLI01086,web,0.6763,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI01087,web,0.5746,Engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI01088,agence,0.3147,Peu engagé,résilié,,,,
CLI01089,agence,0.7075,Engagé,client_actif,"['sante', 'epargne', 'auto', 'prevoyance', 'habitation']",[],Portefeuille complet,email
CLI01090,telephone,0.5294,Engagé,prospect,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI01091,web,0.7862,Très engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI01092,telephone,0.6446,Engagé,client_actif,"['auto', 'prevoyance']","['habitation', 'sante', 'epargne']",sante,telephone
CLI01093,app_mobile,0.4118,Peu engagé,client_inactif,,,,
CLI01094,agence,0.7185,Engagé,client_actif,"['auto', 'prevoyance']","['habitation', 'sante', 'epargne']",sante,telephone
CLI01095,web,0.7635,Très engagé,client_actif,"['habitation', 'prevoyance', 'auto']","['sante', 'epargne']",sante,telephone
CLI01096,app_mobile,0.7623,Très engagé,client_actif,"['prevoyance', 'habitation']","['auto', 'sante', 'epargne']",sante,telephone
CLI01097,web,0.2601,Peu engagé,client_inactif,"['auto', 'prevoyance']","['habitation', 'sante', 'epargne']",sante,telephone
CLI01098,web,0.7821,Très engagé,client_actif,"['epargne', 'habitation', 'auto']","['sante', 'prevoyance']",sante,telephone
CLI01099,app_mobile,0.2697,Peu engagé,client_inactif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01100,telephone,0.7033,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01101,agence,0.6987,Engagé,client_actif,,,,
CLI01102,app_mobile,0.7875,Très engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01103,app_mobile,0.3337,Peu engagé,résilié,,,,
CLI01104,app_mobile,0.3581,Peu engagé,résilié,,,,
CLI01105,email,0.781,Très engagé,client_actif,,,,
CLI01106,app_mobile,0.8162,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI01107,web,0.2427,Dormant,prospect,"['prevoyance', 'auto']","['habitation', 'sante', 'epargne']",sante,telephone
CLI01108,web,0.6599,Engagé,client_actif,"['epargne', 'auto']","['habitation', 'sante', 'prevoyance']",sante,telephone
CLI01109,agence,0.8978,Très engagé,client_actif,"['epargne', 'auto']","['habitation', 'sante', 'prevoyance']",sante,telephone
CLI01110,app_mobile,0.3641,Peu engagé,résilié,,,,
CLI01111,web,0.4462,Peu engagé,résilié,,,,
CLI01112,telephone,0.78,Très engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01113,agence,0.3644,Peu engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI01114,agence,0.4154,Peu engagé,client_inactif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI01115,web,0.3326,Peu engagé,client_inactif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI01116,app_mobile,0.4314,Peu engagé,prospect,"['auto', 'habitation', 'sante', 'epargne']",['prevoyance'],prevoyance,agence
CLI01117,telephone,0.6572,Engagé,client_actif,"['prevoyance', 'epargne', 'sante']","['auto', 'habitation']",auto,web
CLI01118,telephone,0.6791,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
