interaction_id,client_id,date,canal,type_interaction,duree_minutes,satisfaction,resultat
INT0012281,CLI01335,2024-01-16,agence,reclamation,57,7,succès
INT0012282,CLI01336,2024-04-04,agence,reclamation,49,6,succès
INT0012283,CLI01336,2023-04-13,agence,renouvellement,27,10,abandon
INT0012284,CLI01336,2024-05-07,app_mobile,consultation_contrat,5,4,abandon
INT0012285,CLI01336,2023-01-13,web,devis_en_ligne,10,6,succès
INT0012286,CLI01336,2023-12-03,email,email_ouvert,12,6,succès
INT0012287,CLI01337,2023-01-27,agence,reclamation,25,8,abandon
INT0012288,CLI01337,2024-06-25,app_mobile,declaration_sinistre,13,3,succès
INT0012289,CLI01337,2023-12-17,app_mobile,consultation_contrat,13,8,abandon
INT0012290,CLI01337,2024-01-04,app_mobile,ouverture_app,6,6,succès
INT0012291,CLI01337,2024-06-23,app_mobile,consultation_contrat,8,4,succès
INT0012292,CLI01337,2023-04-27,app_mobile,consultation_contrat,9,3,succès
INT0012293,CLI01337,2023-03-29,app_mobile,paiement,4,5,succès
INT0012294,CLI01337,2023-11-07,app_mobile,ouverture_app,3,7,succès
INT0012295,CLI01337,2024-02-20,app_mobile,ouverture_app,8,7,succès
INT0012296,CLI01337,2024-03-14,web,visite_site,5,10,succès
INT0012297,CLI01337,2023-12-18,telephone,resiliation,27,5,succès
INT0012298,CLI01337,2023-04-02,app_mobile,consultation_contrat,1,5,en_attente
INT0012299,CLI01337,2023-01-18,telephone,reclamation,28,6,succès
INT0012300,CLI01337,2023-02-16,app_mobile,consultation_contrat,10,8,en_attente
INT0012301,CLI01337,2023-12-10,app_mobile,ouverture_app,9,10,succès
INT0012302,CLI01338,2024-10-18,web,devis_en_ligne,13,5,abandon
INT0012303,CLI01338,2023-05-14,web,espace_client,14,4,succès
INT0012304,CLI01338,2024-08-07,web,espace_client,5,5,succès
INT0012305,CLI01338,2023-11-14,agence,souscription,28,6,succès
INT0012306,CLI01338,2023-12-07,web,souscription,3,5,succès
INT0012307,CLI01338,2024-12-13,email,email_ouvert,6,6,succès
INT0012308,CLI01338,2024-11-25,web,espace_client,2,9,abandon
INT0012309,CLI01338,2023-08-05,web,espace_client,2,3,abandon
INT0012310,CLI01338,2023-10-27,web,devis_en_ligne,12,6,succès
INT0012311,CLI01338,2023-11-08,web,visite_site,4,5,abandon
INT0012312,CLI01338,2024-05-11,web,devis_en_ligne,1,2,succès
INT0012313,CLI01338,2023-08-30,web,souscription,10,5,succès
INT0012314,CLI01338,2024-10-20,agence,reclamation,73,8,succès
INT0012315,CLI01338,2024-10-24,email,reponse_email,5,4,succès
INT0012316,CLI01338,2024-02-16,email,email_ouvert,10,4,abandon
INT0012317,CLI01338,2023-02-11,agence,reclamation,78,8,succès
INT0012318,CLI01338,2023-08-05,web,visite_site,7,5,abandon
INT0012319,CLI01338,2023-10-07,email,reponse_email,5,9,succès
INT0012320,CLI01338,2024-05-22,agence,rdv_conseiller,89,7,succès
INT0012321,CLI01339,2023-11-05,web,espace_client,9,5,succès
INT0012322,CLI01340,2023-04-23,web,espace_client,9,9,succès
INT0012323,CLI01340,2023-08-04,app_mobile,ouverture_app,8,6,succès
INT0012324,CLI01340,2024-08-27,app_mobile,ouverture_app,7,8,succès
INT0012325,CLI01340,2024-02-12,email,email_ouvert,5,7,succès
INT0012326,CLI01340,2023-08-17,app_mobile,consultation_contrat,13,5,abandon
INT0012327,CLI01340,2024-01-24,app_mobile,ouverture_app,5,7,succès
INT0012328,CLI01340,2024-01-09,app_mobile,paiement,3,7,succès
INT0012329,CLI01341,2023-09-16,web,espace_client,8,5,abandon
INT0012330,CLI01341,2024-01-30,agence,renouvellement,44,8,succès
INT0012331,CLI01341,2023-08-26,web,souscription,10,4,abandon
INT0012332,CLI01341,2023-08-13,web,devis_en_ligne,8,5,succès
INT0012333,CLI01341,2024-03-27,web,espace_client,2,8,succès
INT0012334,CLI01341,2024-02-09,web,devis_en_ligne,1,7,succès
INT0012335,CLI01341,2024-08-21,web,espace_client,5,7,en_attente
INT0012336,CLI01341,2024-10-16,web,souscription,8,6,abandon
INT0012337,CLI01341,2024-05-15,web,visite_site,12,0,succès
INT0012338,CLI01341,2024-07-22,web,espace_client,1,8,succès
INT0012339,CLI01341,2023-05-03,web,devis_en_ligne,10,9,succès
INT0012340,CLI01341,2024-10-29,web,souscription,3,5,en_attente
INT0012341,CLI01341,2024-05-22,web,espace_client,8,8,succès
INT0012342,CLI01341,2023-02-07,app_mobile,paiement,7,7,succès
INT0012343,CLI01341,2023-03-26,web,souscription,3,4,succès
INT0012344,CLI01341,2024-04-03,web,espace_client,7,10,abandon
INT0012345,CLI01341,2023-12-07,web,souscription,13,4,succès
INT0012346,CLI01341,2023-09-26,agence,souscription,58,9,succès
INT0012347,CLI01341,2024-03-16,web,souscription,5,7,succès
INT0012348,CLI01341,2024-11-29,app_mobile,paiement,1,5,escalade
INT0012349,CLI01342,2024-09-02,telephone,reclamation,19,8,en_attente
INT0012350,CLI01342,2023-09-21,telephone,appel_entrant,17,6,succès
INT0012351,CLI01343,2023-08-13,telephone,appel_entrant,7,7,succès
INT0012352,CLI01343,2023-09-18,app_mobile,paiement,3,6,en_attente
INT0012353,CLI01343,2024-03-14,app_mobile,declaration_sinistre,14,3,succès
INT0012354,CLI01343,2024-07-14,telephone,appel_sortant,19,7,succès
INT0012355,CLI01343,2024-08-31,app_mobile,consultation_contrat,14,8,en_attente
INT0012356,CLI01343,2023-06-18,app_mobile,declaration_sinistre,6,7,succès
INT0012357,CLI01343,2024-05-01,web,espace_client,3,5,succès
INT0012358,CLI01343,2023-10-16,web,souscription,6,6,abandon
INT0012359,CLI01343,2024-03-23,app_mobile,consultation_contrat,2,4,en_attente
INT0012360,CLI01343,2023-01-04,telephone,appel_entrant,23,6,succès
INT0012361,CLI01343,2023-07-14,app_mobile,consultation_contrat,6,6,succès
INT0012362,CLI01343,2023-06-08,app_mobile,consultation_contrat,4,4,abandon
INT0012363,CLI01343,2024-01-30,app_mobile,declaration_sinistre,8,9,succès
INT0012364,CLI01343,2023-05-27,telephone,appel_sortant,12,10,succès
INT0012365,CLI01343,2023-04-01,app_mobile,consultation_contrat,1,6,succès
INT0012366,CLI01343,2023-05-06,agence,reclamation,70,7,en_attente
INT0012367,CLI01344,2023-03-16,email,email_ignore,11,5,succès
INT0012368,CLI01344,2023-10-07,agence,souscription,46,8,succès
INT0012369,CLI01344,2024-05-07,app_mobile,consultation_contrat,7,4,succès
INT0012370,CLI01344,2024-02-16,email,email_ouvert,9,6,succès
INT0012371,CLI01344,2024-06-06,email,email_clique,9,6,succès
INT0012372,CLI01344,2024-12-14,app_mobile,declaration_sinistre,7,9,escalade
INT0012373,CLI01344,2024-04-27,app_mobile,paiement,11,4,en_attente
INT0012374,CLI01344,2023-07-12,app_mobile,ouverture_app,13,6,succès
INT0012375,CLI01344,2024-12-09,email,email_clique,8,8,succès
INT0012376,CLI01344,2024-05-15,app_mobile,ouverture_app,3,8,succès
INT0012377,CLI01344,2023-09-12,app_mobile,paiement,8,4,succès
INT0012378,CLI01344,2023-06-12,app_mobile,declaration_sinistre,7,7,succès
INT0012379,CLI01344,2023-06-08,app_mobile,paiement,2,6,succès
INT0012380,CLI01345,2024-04-02,telephone,resiliation,29,7,succès
INT0012381,CLI01345,2023-10-26,web,souscription,8,7,succès
INT0012382,CLI01345,2024-06-02,web,souscription,13,6,succès
INT0012383,CLI01346,2024-01-30,web,espace_client,10,8,abandon
INT0012384,CLI01346,2024-10-17,agence,souscription,77,5,en_attente
INT0012385,CLI01346,2024-08-11,web,devis_en_ligne,3,7,succès
INT0012386,CLI01346,2023-03-16,web,espace_client,9,6,abandon
INT0012387,CLI01346,2023-12-21,telephone,appel_sortant,24,5,succès
INT0012388,CLI01346,2024-02-17,web,souscription,5,6,succès
INT0012389,CLI01346,2024-12-27,web,souscription,7,6,succès
INT0012390,CLI01346,2023-08-24,web,espace_client,6,8,succès
INT0012391,CLI01346,2024-03-25,app_mobile,declaration_sinistre,12,4,succès
INT0012392,CLI01346,2023-02-02,web,espace_client,5,4,succès
INT0012393,CLI01346,2023-05-07,app_mobile,ouverture_app,3,7,abandon
INT0012394,CLI01346,2024-05-10,web,visite_site,3,7,abandon
INT0012395,CLI01346,2023-12-16,web,visite_site,12,7,abandon
INT0012396,CLI01346,2023-08-01,web,devis_en_ligne,1,4,succès
INT0012397,CLI01346,2023-07-13,web,souscription,6,8,succès
INT0012398,CLI01346,2024-11-11,web,visite_site,8,8,succès
INT0012399,CLI01346,2023-04-18,web,souscription,3,6,succès
INT0012400,CLI01346,2024-07-07,app_mobile,declaration_sinistre,1,10,abandon
INT0012401,CLI01346,2024-03-09,web,visite_site,2,9,succès
INT0012402,CLI01346,2023-05-03,app_mobile,consultation_contrat,12,6,succès
INT0012403,CLI01346,2023-07-18,web,souscription,8,7,succès
INT0012404,CLI01346,2023-10-10,app_mobile,paiement,3,4,succès
INT0012405,CLI01346,2024-07-11,agence,renouvellement,20,4,succès
INT0012406,CLI01346,2023-09-09,web,visite_site,3,5,succès
INT0012407,CLI01347,2023-11-22,app_mobile,ouverture_app,2,7,en_attente
INT0012408,CLI01347,2023-01-23,telephone,appel_entrant,25,8,escalade
INT0012409,CLI01347,2024-05-27,app_mobile,declaration_sinistre,14,5,succès
INT0012410,CLI01347,2023-08-30,agence,rdv_conseiller,26,5,succès
INT0012411,CLI01347,2023-10-24,app_mobile,declaration_sinistre,13,7,succès
INT0012412,CLI01347,2024-02-25,app_mobile,declaration_sinistre,2,8,abandon
INT0012413,CLI01347,2023-11-15,telephone,appel_sortant,18,7,succès
INT0012414,CLI01347,2023-05-29,agence,rdv_conseiller,70,5,succès
INT0012415,CLI01347,2024-10-15,app_mobile,paiement,7,6,succès
INT0012416,CLI01348,2024-10-18,telephone,appel_sortant,27,7,en_attente
INT0012417,CLI01348,2023-12-12,telephone,resiliation,26,9,succès
INT0012418,CLI01348,2023-05-09,telephone,reclamation,3,7,succès
INT0012419,CLI01349,2023-02-03,agence,renouvellement,65,6,succès
INT0012420,CLI01349,2024-09-20,telephone,appel_entrant,22,9,succès
INT0012421,CLI01349,2024-02-09,agence,rdv_conseiller,53,6,succès
INT0012422,CLI01349,2023-02-08,agence,renouvellement,49,10,succès
INT0012423,CLI01349,2024-10-19,agence,renouvellement,17,8,abandon
INT0012424,CLI01349,2024-06-27,agence,reclamation,82,7,abandon
INT0012425,CLI01349,2023-02-20,app_mobile,paiement,8,3,succès
INT0012426,CLI01349,2024-07-19,agence,renouvellement,20,5,succès
INT0012427,CLI01349,2024-07-24,app_mobile,ouverture_app,12,3,succès
INT0012428,CLI01349,2023-10-25,agence,souscription,37,8,escalade
INT0012429,CLI01350,2024-04-27,web,espace_client,3,3,succès
INT0012430,CLI01350,2023-03-26,app_mobile,ouverture_app,7,5,succès
INT0012431,CLI01350,2023-07-19,email,email_clique,6,3,succès
INT0012432,CLI01350,2023-01-27,agence,renouvellement,50,6,succès
INT0012433,CLI01350,2023-07-01,web,visite_site,13,6,succès
INT0012434,CLI01350,2024-05-08,web,devis_en_ligne,3,7,abandon
INT0012435,CLI01350,2024-10-29,telephone,reclamation,18,8,succès
INT0012436,CLI01350,2024-06-09,telephone,appel_sortant,13,5,succès
INT0012437,CLI01351,2023-03-06,agence,renouvellement,81,8,escalade
INT0012438,CLI01351,2023-08-22,agence,reclamation,20,5,succès
INT0012439,CLI01351,2023-06-28,agence,souscription,74,8,abandon
INT0012440,CLI01351,2023-06-27,agence,renouvellement,63,7,succès
INT0012441,CLI01351,2024-11-17,agence,reclamation,47,9,abandon
INT0012442,CLI01351,2023-02-08,agence,souscription,27,7,escalade
INT0012443,CLI01351,2024-07-17,agence,renouvellement,64,5,succès
INT0012444,CLI01351,2024-01-12,agence,rdv_conseiller,18,6,en_attente
INT0012445,CLI01351,2024-06-02,agence,reclamation,35,8,succès
INT0012446,CLI01351,2024-01-05,telephone,appel_entrant,25,6,en_attente
INT0012447,CLI01351,2023-02-28,agence,souscription,35,6,abandon
INT0012448,CLI01351,2023-10-04,app_mobile,paiement,11,7,escalade
INT0012449,CLI01351,2024-02-25,email,email_clique,1,4,escalade
INT0012450,CLI01351,2024-05-04,agence,reclamation,32,5,succès
INT0012451,CLI01351,2024-10-25,agence,reclamation,43,5,succès
INT0012452,CLI01351,2024-07-11,agence,renouvellement,86,8,succès
INT0012453,CLI01351,2024-01-05,agence,renouvellement,18,5,en_attente
INT0012454,CLI01351,2024-04-20,email,email_ouvert,7,7,abandon
INT0012455,CLI01351,2023-07-12,agence,souscription,54,7,succès
INT0012456,CLI01351,2023-04-08,web,devis_en_ligne,7,8,succès
INT0012457,CLI01351,2024-01-07,email,email_ouvert,3,9,succès
INT0012458,CLI01351,2023-10-17,agence,souscription,45,10,succès
INT0012459,CLI01352,2023-04-23,agence,renouvellement,23,8,succès
INT0012460,CLI01352,2024-08-17,web,visite_site,6,6,succès
INT0012461,CLI01352,2023-04-29,web,souscription,12,7,succès
INT0012462,CLI01352,2024-02-20,web,devis_en_ligne,2,6,en_attente
INT0012463,CLI01352,2023-08-02,web,visite_site,2,5,en_attente
INT0012464,CLI01352,2024-03-21,web,devis_en_ligne,9,9,succès
INT0012465,CLI01352,2024-01-28,web,devis_en_ligne,11,6,succès
INT0012466,CLI01352,2023-03-21,agence,souscription,36,8,succès
INT0012467,CLI01352,2024-01-31,web,devis_en_ligne,9,9,en_attente
INT0012468,CLI01352,2023-08-25,web,visite_site,7,5,succès
INT0012469,CLI01353,2023-10-27,email,email_clique,4,6,succès
INT0012470,CLI01353,2023-07-14,email,email_ouvert,13,5,abandon
INT0012471,CLI01353,2024-05-01,email,reponse_email,14,8,succès
INT0012472,CLI01353,2023-05-04,email,email_ignore,8,7,escalade
INT0012473,CLI01353,2023-11-21,email,email_ignore,6,5,succès
INT0012474,CLI01353,2023-02-17,email,email_ouvert,12,4,succès
INT0012475,CLI01353,2024-09-10,email,email_ignore,6,8,succès
INT0012476,CLI01353,2023-01-30,email,email_ouvert,10,5,en_attente
INT0012477,CLI01353,2023-01-06,agence,renouvellement,24,10,succès
INT0012478,CLI01353,2024-03-27,app_mobile,consultation_contrat,7,7,succès
INT0012479,CLI01353,2023-06-11,app_mobile,consultation_contrat,5,8,succès
INT0012480,CLI01353,2024-09-04,email,reponse_email,3,5,abandon
INT0012481,CLI01353,2024-03-18,email,email_clique,1,7,en_attente
INT0012482,CLI01353,2023-09-28,email,email_ouvert,6,6,abandon
INT0012483,CLI01353,2023-06-03,email,reponse_email,14,7,succès
INT0012484,CLI01353,2024-05-05,web,espace_client,9,7,succès
INT0012485,CLI01353,2024-02-29,email,reponse_email,3,3,succès
INT0012486,CLI01353,2023-01-23,email,email_clique,10,3,abandon
INT0012487,CLI01353,2023-07-17,email,reponse_email,9,4,abandon
INT0012488,CLI01354,2024-03-26,email,email_ouvert,2,10,succès
INT0012489,CLI01355,2024-11-11,app_mobile,ouverture_app,10,8,en_attente
INT0012490,CLI01355,2024-01-12,app_mobile,paiement,1,2,en_attente
INT0012491,CLI01356,2023-12-12,agence,souscription,80,9,succès
INT0012492,CLI01356,2024-12-31,agence,renouvellement,24,7,succès
INT0012493,CLI01356,2024-12-11,agence,souscription,63,7,succès
INT0012494,CLI01356,2024-02-08,agence,renouvellement,53,9,abandon
INT0012495,CLI01356,2024-06-19,email,email_ouvert,7,7,abandon
INT0012496,CLI01356,2024-02-15,email,email_clique,1,6,succès
INT0012497,CLI01356,2023-04-12,agence,rdv_conseiller,79,6,abandon
INT0012498,CLI01356,2023-11-21,web,visite_site,6,6,succès
INT0012499,CLI01356,2023-03-10,agence,reclamation,44,7,succès
INT0012500,CLI01356,2023-04-29,agence,reclamation,73,6,succès
INT0012501,CLI01356,2024-01-09,telephone,resiliation,18,5,succès
INT0012502,CLI01356,2023-08-11,agence,souscription,40,3,succès
INT0012503,CLI01356,2024-03-30,agence,renouvellement,38,6,abandon
INT0012504,CLI01356,2023-09-28,agence,rdv_conseiller,16,7,succès
INT0012505,CLI01356,2024-11-29,agence,reclamation,55,10,abandon
INT0012506,CLI01356,2023-11-14,agence,rdv_conseiller,79,10,escalade
INT0012507,CLI01356,2024-07-09,agence,rdv_conseiller,44,6,succès
INT0012508,CLI01356,2023-07-16,agence,rdv_conseiller,19,7,abandon
INT0012509,CLI01356,2024-10-27,web,espace_client,4,1,succès
INT0012510,CLI01356,2024-02-17,web,espace_client,11,3,succès
INT0012511,CLI01356,2023-01-30,agence,souscription,74,8,en_attente
INT0012512,CLI01356,2024-10-27,web,visite_site,10,6,succès
INT0012513,CLI01356,2024-11-19,agence,souscription,82,7,succès
INT0012514,CLI01356,2024-06-29,agence,rdv_conseiller,37,8,succès
INT0012515,CLI01357,2024-11-11,web,espace_client,3,7,succès
INT0012516,CLI01357,2023-06-16,telephone,appel_sortant,3,7,succès
INT0012517,CLI01357,2023-11-22,telephone,resiliation,8,8,succès
INT0012518,CLI01357,2024-01-02,telephone,reclamation,18,8,escalade
INT0012519,CLI01357,2023-01-13,telephone,appel_entrant,27,7,succès
INT0012520,CLI01357,2024-11-12,agence,reclamation,20,7,abandon
INT0012521,CLI01357,2023-05-13,web,espace_client,8,6,escalade
INT0012522,CLI01357,2024-07-20,app_mobile,consultation_contrat,4,9,succès
INT0012523,CLI01357,2023-03-18,telephone,reclamation,18,7,succès
INT0012524,CLI01357,2023-07-30,telephone,appel_sortant,15,4,abandon
INT0012525,CLI01357,2023-11-07,web,visite_site,12,9,succès
INT0012526,CLI01357,2023-09-17,telephone,reclamation,13,9,succès
INT0012527,CLI01357,2023-10-26,telephone,appel_sortant,21,7,succès
INT0012528,CLI01357,2023-10-09,email,email_clique,13,3,succès
INT0012529,CLI01357,2023-05-10,telephone,appel_entrant,21,7,succès
INT0012530,CLI01357,2024-10-21,telephone,reclamation,3,7,succès
INT0012531,CLI01357,2023-05-10,web,espace_client,11,4,succès
INT0012532,CLI01357,2024-06-07,telephone,appel_entrant,26,6,en_attente
INT0012533,CLI01357,2023-08-18,telephone,reclamation,3,6,succès
INT0012534,CLI01357,2023-04-11,agence,souscription,87,8,succès
INT0012535,CLI01358,2023-09-01,agence,renouvellement,20,7,succès
INT0012536,CLI01358,2024-02-05,agence,rdv_conseiller,45,10,en_attente
INT0012537,CLI01358,2024-05-22,agence,reclamation,22,5,escalade
INT0012538,CLI01359,2023-11-29,agence,souscription,76,6,succès
INT0012539,CLI01359,2023-04-11,agence,reclamation,68,7,succès
INT0012540,CLI01360,2023-01-10,email,email_ignore,10,9,abandon
INT0012541,CLI01360,2024-10-23,web,visite_site,11,7,en_attente
INT0012542,CLI01360,2024-12-08,telephone,appel_entrant,22,3,abandon
INT0012543,CLI01360,2023-08-18,agence,renouvellement,27,9,en_attente
INT0012544,CLI01361,2023-09-05,web,espace_client,6,8,succès
INT0012545,CLI01361,2024-07-10,app_mobile,ouverture_app,5,6,succès
INT0012546,CLI01362,2024-10-16,agence,renouvellement,19,7,succès
INT0012547,CLI01362,2024-08-13,agence,renouvellement,38,7,abandon
INT0012548,CLI01362,2024-01-20,agence,souscription,53,6,succès
INT0012549,CLI01362,2023-01-15,agence,reclamation,19,8,succès
INT0012550,CLI01362,2024-10-11,agence,reclamation,26,6,succès
INT0012551,CLI01362,2024-05-15,agence,renouvellement,35,5,succès
INT0012552,CLI01362,2023-09-04,agence,souscription,60,4,abandon
INT0012553,CLI01362,2024-01-16,email,reponse_email,5,7,abandon
INT0012554,CLI01362,2023-09-12,agence,renouvellement,76,5,succès
INT0012555,CLI01362,2023-02-05,agence,renouvellement,29,9,en_attente
INT0012556,CLI01362,2024-05-29,app_mobile,consultation_contrat,2,10,succès
INT0012557,CLI01362,2023-09-05,agence,renouvellement,30,7,abandon
INT0012558,CLI01362,2023-11-24,agence,rdv_conseiller,78,8,abandon
INT0012559,CLI01362,2024-07-31,agence,rdv_conseiller,35,6,abandon
INT0012560,CLI01362,2023-03-26,web,souscription,5,5,en_attente
INT0012561,CLI01362,2024-09-28,agence,renouvellement,52,6,succès
INT0012562,CLI01362,2023-10-03,email,email_ignore,4,8,en_attente
INT0012563,CLI01362,2023-06-23,agence,reclamation,85,6,succès
INT0012564,CLI01362,2024-11-03,web,souscription,11,5,succès
INT0012565,CLI01362,2024-05-09,app_mobile,ouverture_app,3,4,succès
INT0012566,CLI01363,2024-06-27,telephone,appel_sortant,24,7,en_attente
INT0012567,CLI01363,2024-02-04,telephone,appel_entrant,18,9,succès
INT0012568,CLI01364,2024-02-11,email,email_clique,13,4,abandon
INT0012569,CLI01364,2023-10-22,agence,rdv_conseiller,51,10,succès
INT0012570,CLI01364,2023-04-03,agence,reclamation,81,8,succès
INT0012571,CLI01364,2023-02-06,telephone,appel_sortant,23,9,succès
INT0012572,CLI01365,2024-05-14,agence,rdv_conseiller,57,9,succès
INT0012573,CLI01365,2024-06-06,web,espace_client,7,8,succès
INT0012574,CLI01366,2024-05-29,web,visite_site,10,9,succès
INT0012575,CLI01366,2023-06-03,web,espace_client,2,4,succès
INT0012576,CLI01366,2024-08-19,web,devis_en_ligne,1,7,en_attente
INT0012577,CLI01366,2024-07-21,web,devis_en_ligne,3,7,escalade
INT0012578,CLI01366,2023-08-03,web,visite_site,5,4,succès
INT0012579,CLI01366,2023-07-09,web,espace_client,5,4,succès
INT0012580,CLI01366,2024-05-25,web,visite_site,12,5,en_attente
INT0012581,CLI01366,2024-12-07,app_mobile,consultation_contrat,5,3,succès
INT0012582,CLI01366,2024-03-15,web,devis_en_ligne,8,9,abandon
INT0012583,CLI01366,2024-12-06,web,visite_site,4,4,abandon
INT0012584,CLI01366,2023-09-25,web,souscription,13,8,en_attente
INT0012585,CLI01367,2023-06-28,app_mobile,paiement,1,6,succès
INT0012586,CLI01367,2023-07-13,app_mobile,consultation_contrat,8,9,abandon
INT0012587,CLI01367,2024-10-28,app_mobile,paiement,14,4,succès
INT0012588,CLI01367,2023-09-18,app_mobile,ouverture_app,7,6,succès
INT0012589,CLI01367,2024-11-23,app_mobile,ouverture_app,2,9,succès
INT0012590,CLI01367,2024-09-15,app_mobile,ouverture_app,13,5,en_attente
INT0012591,CLI01367,2024-03-25,app_mobile,paiement,2,7,abandon
INT0012592,CLI01367,2023-09-25,app_mobile,paiement,4,4,succès
INT0012593,CLI01367,2023-03-09,email,email_ignore,4,8,escalade
INT0012594,CLI01367,2023-05-27,app_mobile,consultation_contrat,11,7,succès
INT0012595,CLI01367,2024-08-03,app_mobile,consultation_contrat,1,6,succès
INT0012596,CLI01367,2023-08-20,web,souscription,5,3,abandon
INT0012597,CLI01367,2024-01-03,email,reponse_email,8,5,succès
INT0012598,CLI01367,2024-05-21,email,email_clique,13,6,succès
INT0012599,CLI01367,2024-02-09,app_mobile,declaration_sinistre,3,5,succès
INT0012600,CLI01367,2024-05-15,app_mobile,consultation_contrat,4,8,succès
INT0012601,CLI01367,2024-04-09,app_mobile,ouverture_app,7,7,en_attente
INT0012602,CLI01367,2024-03-08,web,devis_en_ligne,7,5,succès
INT0012603,CLI01367,2024-08-19,app_mobile,declaration_sinistre,6,7,succès
INT0012604,CLI01367,2023-11-25,app_mobile,ouverture_app,9,2,succès
INT0012605,CLI01367,2023-09-03,web,visite_site,10,1,succès
INT0012606,CLI01367,2023-01-31,app_mobile,declaration_sinistre,12,8,succès
INT0012607,CLI01367,2024-01-17,web,devis_en_ligne,12,7,succès
INT0012608,CLI01368,2023-09-24,web,souscription,8,4,en_attente
INT0012609,CLI01368,2024-06-21,agence,rdv_conseiller,26,7,abandon
INT0012610,CLI01368,2023-06-24,web,devis_en_ligne,3,6,escalade
INT0012611,CLI01368,2023-07-05,web,devis_en_ligne,1,9,succès
INT0012612,CLI01368,2023-02-04,web,devis_en_ligne,13,6,succès
INT0012613,CLI01368,2024-06-20,telephone,appel_entrant,5,9,abandon
INT0012614,CLI01368,2024-08-12,web,visite_site,1,7,succès
INT0012615,CLI01368,2023-09-12,web,souscription,8,6,succès
INT0012616,CLI01369,2024-07-29,email,email_clique,8,6,succès
INT0012617,CLI01369,2024-05-06,web,devis_en_ligne,6,8,succès
INT0012618,CLI01369,2023-04-25,app_mobile,declaration_sinistre,11,5,succès
INT0012619,CLI01369,2023-05-24,app_mobile,ouverture_app,11,5,succès
INT0012620,CLI01370,2024-06-12,app_mobile,declaration_sinistre,12,5,succès
INT0012621,CLI01370,2024-04-02,app_mobile,ouverture_app,1,6,succès
INT0012622,CLI01370,2024-10-01,app_mobile,paiement,13,4,succès
INT0012623,CLI01370,2024-07-10,app_mobile,declaration_sinistre,9,4,succès
INT0012624,CLI01370,2024-07-07,app_mobile,paiement,2,9,succès
INT0012625,CLI01370,2024-10-15,app_mobile,paiement,2,6,succès
INT0012626,CLI01371,2023-08-25,email,email_ouvert,5,7,succès
INT0012627,CLI01372,2023-08-17,telephone,appel_entrant,27,7,succès
INT0012628,CLI01372,2024-11-18,agence,reclamation,74,5,abandon
INT0012629,CLI01372,2024-02-10,agence,reclamation,35,7,succès
INT0012630,CLI01373,2023-11-17,agence,renouvellement,32,4,abandon
INT0012631,CLI01373,2024-05-14,web,visite_site,3,6,en_attente
INT0012632,CLI01373,2023-11-25,agence,reclamation,25,8,succès
INT0012633,CLI01373,2024-10-27,email,email_clique,13,5,escalade
INT0012634,CLI01373,2023-07-29,email,email_ouvert,6,5,succès
INT0012635,CLI01373,2024-11-14,agence,rdv_conseiller,49,6,succès
INT0012636,CLI01373,2024-11-14,agence,souscription,33,10,succès
INT0012637,CLI01373,2024-08-01,app_mobile,consultation_contrat,8,6,escalade
INT0012638,CLI01373,2023-03-01,app_mobile,consultation_contrat,7,7,succès
INT0012639,CLI01373,2024-05-18,agence,souscription,86,9,succès
INT0012640,CLI01373,2023-12-15,agence,reclamation,71,6,succès
INT0012641,CLI01373,2023-08-13,agence,reclamation,43,7,en_attente
INT0012642,CLI01373,2024-03-12,web,souscription,2,7,succès
INT0012643,CLI01373,2023-08-29,agence,rdv_conseiller,54,6,succès
INT0012644,CLI01373,2024-04-01,telephone,resiliation,3,8,succès
INT0012645,CLI01373,2024-03-02,telephone,appel_entrant,29,6,abandon
INT0012646,CLI01374,2024-10-22,telephone,appel_sortant,9,7,succès
INT0012647,CLI01375,2023-08-27,telephone,appel_entrant,22,5,en_attente
INT0012648,CLI01375,2024-03-17,web,souscription,4,6,escalade
INT0012649,CLI01375,2023-12-12,web,devis_en_ligne,6,5,en_attente
INT0012650,CLI01375,2024-05-16,telephone,appel_entrant,9,7,succès
INT0012651,CLI01375,2023-07-14,telephone,appel_entrant,5,7,escalade
INT0012652,CLI01376,2023-08-24,agence,rdv_conseiller,79,4,succès
INT0012653,CLI01376,2024-04-22,agence,souscription,55,6,en_attente
INT0012654,CLI01376,2024-05-12,agence,souscription,59,10,succès
INT0012655,CLI01376,2023-01-29,agence,souscription,28,7,succès
INT0012656,CLI01376,2023-02-22,agence,reclamation,44,8,escalade
INT0012657,CLI01376,2024-06-13,agence,renouvellement,15,6,succès
INT0012658,CLI01376,2023-05-28,telephone,appel_sortant,5,5,succès
INT0012659,CLI01376,2023-10-04,agence,reclamation,27,6,succès
INT0012660,CLI01376,2023-05-11,agence,reclamation,86,6,en_attente
INT0012661,CLI01376,2024-05-04,agence,reclamation,71,9,succès
INT0012662,CLI01376,2023-11-25,agence,renouvellement,20,9,succès
INT0012663,CLI01376,2023-12-03,email,email_ouvert,2,4,succès
INT0012664,CLI01376,2023-12-10,app_mobile,paiement,13,3,escalade
INT0012665,CLI01376,2024-03-27,web,devis_en_ligne,13,5,succès
INT0012666,CLI01376,2023-01-25,app_mobile,ouverture_app,13,9,succès
INT0012667,CLI01376,2024-09-28,agence,rdv_conseiller,18,8,succès
